,Actual,Predicted,Forecast
1996-05-01,76.6826,76.57009669764383,
1996-06-01,81.9306,82.95403740125585,
1996-07-01,85.9606,88.31553670726986,
1996-08-01,86.5562,87.61281035436922,
1996-09-01,79.1919,79.88038083307939,
1996-10-01,74.6891,74.77632803851606,
1996-11-01,81.074,78.96198753469612,
1996-12-01,90.4855,90.7522305893107,
1997-01-01,98.4613,97.1538936379702,
1997-02-01,89.7795,92.94288114470119,
1997-03-01,83.0125,84.46286620389736,
1997-04-01,76.1476,76.17746762711651,
1997-05-01,73.8471,75.00113510601359,
1997-06-01,79.7645,79.5199918950887,
1997-07-01,88.4519,85.624578343119,
1997-08-01,87.7828,88.24629638469266,
1997-09-01,81.9386,80.15663282575112,
1997-10-01,77.5027,77.4934646111911,
1997-11-01,82.0448,81.97195336953865,
1997-12-01,92.101,91.98126515565659,
1998-01-01,94.792,99.38023597511399,
1998-02-01,87.82,89.41797918929669,
1998-03-01,86.5549,83.02954757380505,
1998-04-01,76.7521,78.0425173537511,
1998-05-01,78.0303,74.49576053087779,
1998-06-01,86.4579,83.73316737132909,
1998-07-01,93.8379,91.74309515546769,
1998-08-01,93.531,93.17963715624488,
1998-09-01,87.5414,86.77000261043815,
1998-10-01,80.0924,83.04562471692199,
1998-11-01,81.4349,85.25800302962764,
1998-12-01,91.6841,93.00614880223146,
1999-01-01,102.1348,98.2551124165014,
1999-02-01,91.1829,94.45288465872709,
1999-03-01,90.7381,86.48530520466238,
1999-04-01,80.5176,82.69024367051482,
1999-05-01,79.3887,79.30972318199395,
1999-06-01,87.8431,86.6415079048171,
1999-07-01,97.4903,94.28560863359161,
1999-08-01,96.4157,96.40157204430152,
1999-09-01,87.2248,89.39714825929116,
1999-10-01,80.6409,82.79807355735248,
1999-11-01,82.2025,85.23624463950975,
1999-12-01,94.5113,93.06986914801215,
2000-01-01,102.2301,101.95394132578289,
2000-02-01,94.2989,93.74115427359558,
2000-03-01,88.0927,90.74450142930118,
2000-04-01,81.4425,80.04691996026344,
2000-05-01,84.4552,80.74007977160689,
2000-06-01,91.0406,89.9764348994346,
2000-07-01,95.9957,97.73145929265107,
2000-08-01,99.3704,96.55040521813542,
2000-09-01,90.9178,91.77834432858093,
2000-10-01,83.1408,84.59661754221372,
2000-11-01,88.041,87.07359441923658,
2000-12-01,102.4558,98.91909600334087,
2001-01-01,109.1081,108.40009322233412,
